epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9227,1.23786,2.08968,1.15315,0.02229,0.71282,0.54789,0.36611,1.21876,2.51526,1.17877,0.00056,0.00056,0.00056
2,56.7087,1.32114,1.35857,1.22757,0.8122,0.09981,0.31835,0.14853,1.56558,2.72183,1.57428,0.00111743,0.00111743,0.00111743
3,68.3421,1.3614,1.33335,1.21876,0.77043,0.48205,0.59021,0.30264,1.58763,2.09323,1.48246,0.00165189,0.00165189,0.00165189
4,79.849,1.3692,1.26837,1.22106,0.57787,0.49141,0.5131,0.28428,1.68368,1.85174,1.57447,0.0018812,0.0018812,0.0018812
5,90.1492,1.3907,1.27491,1.22085,0.64454,0.59231,0.62439,0.33465,1.48366,1.5784,1.4601,0.0018416,0.0018416,0.0018416
6,102.662,1.31509,1.19912,1.21455,0.75588,0.67485,0.73666,0.43352,1.4381,1.3636,1.35626,0.001802,0.001802,0.001802
7,114.852,1.33639,1.15239,1.21168,0.85173,0.7359,0.82887,0.5047,1.3598,1.17606,1.32609,0.0017624,0.0017624,0.0017624
8,126.531,1.30291,1.10103,1.20626,0.81093,0.70256,0.81337,0.48624,1.36132,1.17874,1.28863,0.0017228,0.0017228,0.0017228
9,138.134,1.28943,1.11279,1.19549,0.78849,0.70513,0.78162,0.46795,1.392,1.27193,1.31875,0.0016832,0.0016832,0.0016832
10,148.482,1.28434,1.08842,1.18677,0.80021,0.67782,0.78157,0.49107,1.32783,1.15859,1.27107,0.0016436,0.0016436,0.0016436
11,160.664,1.28459,1.04709,1.18275,0.84431,0.73696,0.83677,0.52314,1.27234,1.01573,1.21002,0.001604,0.001604,0.001604
12,173.162,1.25195,1.00137,1.17402,0.89853,0.72658,0.85245,0.50629,1.34866,1.04755,1.29499,0.0015644,0.0015644,0.0015644
13,183.937,1.23212,0.9972,1.17352,0.8477,0.66667,0.78245,0.45157,1.43615,1.227,1.32835,0.0015248,0.0015248,0.0015248
14,196.016,1.24913,1.00084,1.16076,0.80598,0.70299,0.81266,0.46913,1.33971,1.47853,1.29014,0.0014852,0.0014852,0.0014852
15,207.604,1.20942,0.96397,1.15525,0.82216,0.74678,0.83098,0.52345,1.31618,1.08711,1.24158,0.0014456,0.0014456,0.0014456
16,217.6,1.21199,0.94224,1.15634,0.89942,0.7796,0.89214,0.56562,1.26737,0.85411,1.20746,0.001406,0.001406,0.001406
17,229.773,1.19464,0.9293,1.1461,0.85655,0.79613,0.87885,0.5673,1.22432,0.85304,1.18736,0.0013664,0.0013664,0.0013664
18,241.518,1.23467,0.90769,1.14895,0.86816,0.75128,0.85458,0.53721,1.27878,0.91734,1.20536,0.0013268,0.0013268,0.0013268
19,253.382,1.17047,0.88286,1.14122,0.89778,0.7641,0.87639,0.55613,1.29635,0.85947,1.21417,0.0012872,0.0012872,0.0012872
20,265.175,1.13134,0.86562,1.10982,0.87461,0.78974,0.88904,0.57924,1.20809,0.83041,1.18486,0.0012476,0.0012476,0.0012476
21,273.918,1.20995,0.90192,1.13264,0.87043,0.75793,0.86703,0.52945,1.32196,0.87647,1.22301,0.001208,0.001208,0.001208
22,286.944,1.17425,0.84086,1.12713,0.91983,0.76492,0.90919,0.60025,1.18669,0.7601,1.1458,0.0011684,0.0011684,0.0011684
23,298.125,1.18849,0.85545,1.11682,0.90009,0.78538,0.89931,0.57043,1.27466,0.82703,1.19007,0.0011288,0.0011288,0.0011288
24,309.92,1.13425,0.83345,1.12129,0.93454,0.76923,0.90905,0.59639,1.18606,0.76166,1.14675,0.0010892,0.0010892,0.0010892
25,320.011,1.14104,0.82299,1.09585,0.90201,0.82614,0.91136,0.61164,1.173,0.75601,1.15527,0.0010496,0.0010496,0.0010496
26,331.438,1.08604,0.76477,1.09293,0.94795,0.79386,0.91614,0.61749,1.14437,0.72278,1.12882,0.00101,0.00101,0.00101
27,343.419,1.0897,0.78662,1.08888,0.9176,0.79946,0.91484,0.59442,1.16254,0.73847,1.1647,0.0009704,0.0009704,0.0009704
28,354.752,1.06375,0.77826,1.08181,0.91597,0.82564,0.92386,0.5994,1.15583,0.72585,1.15067,0.0009308,0.0009308,0.0009308
29,366.07,1.10784,0.78463,1.09046,0.88312,0.78974,0.89591,0.5914,1.16218,0.77415,1.14612,0.0008912,0.0008912,0.0008912
30,377.858,1.09932,0.77027,1.09988,0.9049,0.82958,0.92514,0.60872,1.14683,0.70145,1.14495,0.0008516,0.0008516,0.0008516
31,388.286,1.05917,0.76548,1.07088,0.91695,0.77949,0.9114,0.60387,1.17927,0.74526,1.14999,0.000812,0.000812,0.000812
32,399.274,1.08062,0.75212,1.08777,0.91838,0.77897,0.9031,0.61111,1.17075,0.74974,1.169,0.0007724,0.0007724,0.0007724
33,410.768,1.04317,0.74378,1.07116,0.93823,0.78718,0.90806,0.60878,1.14689,0.72452,1.13581,0.0007328,0.0007328,0.0007328
34,421.592,1.05358,0.73966,1.06451,0.9094,0.78462,0.90277,0.60693,1.1207,0.7213,1.11111,0.0006932,0.0006932,0.0006932
35,434.122,1.02907,0.73567,1.0658,0.92052,0.77179,0.91678,0.61601,1.12909,0.70239,1.12123,0.0006536,0.0006536,0.0006536
36,443.707,1.0458,0.72119,1.06693,0.88343,0.81615,0.92505,0.61983,1.14007,0.68984,1.11329,0.000614,0.000614,0.000614
37,455.811,0.99829,0.70323,1.05253,0.89845,0.82821,0.93103,0.63154,1.1245,0.68157,1.11628,0.0005744,0.0005744,0.0005744
38,467.481,1.01158,0.70337,1.05307,0.92205,0.81894,0.93765,0.63862,1.12075,0.67946,1.10153,0.0005348,0.0005348,0.0005348
39,479.586,0.99896,0.67572,1.03895,0.90466,0.79487,0.9209,0.62835,1.11663,0.69494,1.1005,0.0004952,0.0004952,0.0004952
40,490.752,0.9866,0.68054,1.04595,0.92695,0.79487,0.91775,0.62561,1.09969,0.67707,1.11476,0.0004556,0.0004556,0.0004556
41,505.071,0.92568,0.64528,1.00042,0.91187,0.79231,0.90392,0.61621,1.11139,0.7356,1.12084,0.000416,0.000416,0.000416
42,513.893,0.90167,0.6143,0.99249,0.94281,0.76084,0.90729,0.62376,1.11379,0.72221,1.11467,0.0003764,0.0003764,0.0003764
43,526.504,0.89465,0.60187,0.99246,0.91966,0.79249,0.91446,0.61971,1.12314,0.70212,1.11539,0.0003368,0.0003368,0.0003368
44,537.021,0.88369,0.59001,0.98839,0.91091,0.8,0.92396,0.63925,1.08389,0.6596,1.08752,0.0002972,0.0002972,0.0002972
