epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7534,1.2182,1.75857,1.14354,0.98854,0.22115,0.59115,0.33786,1.43388,2.46677,1.31698,0.00056,0.00056,0.00056
2,27.7705,1.29397,1.24223,1.1994,0.83126,0.47999,0.58545,0.34841,1.43678,2.14319,1.39731,0.00111743,0.00111743,0.00111743
3,41.7457,1.28206,1.21664,1.18668,0.35805,0.48205,0.33915,0.15042,1.68379,2.20359,1.55041,0.00165189,0.00165189,0.00165189
4,53.1694,1.32991,1.21951,1.19635,0.50056,0.39231,0.40857,0.17582,1.94402,2.12245,1.85227,0.0018812,0.0018812,0.0018812
5,63.5086,1.35108,1.17693,1.20796,0.75258,0.58495,0.68459,0.4077,1.51448,1.3709,1.3923,0.0018416,0.0018416,0.0018416
6,76.2689,1.25453,1.08884,1.1751,0.79474,0.64103,0.76111,0.43509,1.47435,1.23617,1.32242,0.001802,0.001802,0.001802
7,88.3452,1.28821,1.07865,1.18828,0.8337,0.71282,0.82515,0.4957,1.33697,1.0969,1.26779,0.0017624,0.0017624,0.0017624
8,100.719,1.28739,1.04193,1.18361,0.73646,0.59231,0.68424,0.38404,1.42388,1.45724,1.30258,0.0017228,0.0017228,0.0017228
9,112.07,1.30613,1.07049,1.20985,0.83612,0.7326,0.83017,0.50647,1.30439,1.04371,1.2523,0.0016832,0.0016832,0.0016832
10,123.436,1.27779,1.02267,1.17534,0.82775,0.74103,0.83382,0.51197,1.31787,1.0717,1.28132,0.0016436,0.0016436,0.0016436
11,135.508,1.24837,0.97692,1.16662,0.8583,0.68462,0.82142,0.52604,1.26895,1.05244,1.21238,0.001604,0.001604,0.001604
12,147.469,1.2173,0.9563,1.15047,0.79266,0.77442,0.84055,0.52127,1.30452,1.04692,1.27413,0.0015644,0.0015644,0.0015644
13,159.264,1.19451,0.92837,1.15618,0.93046,0.7205,0.87872,0.53541,1.28192,0.9238,1.23215,0.0015248,0.0015248,0.0015248
14,171.502,1.21254,0.92256,1.14864,0.89395,0.76923,0.88861,0.55695,1.26942,0.90479,1.21195,0.0014852,0.0014852,0.0014852
15,183.538,1.1643,0.90625,1.1391,0.87212,0.73447,0.84624,0.52173,1.30539,0.94514,1.22112,0.0014456,0.0014456,0.0014456
16,193.478,1.18363,0.88525,1.14492,0.84492,0.81023,0.88228,0.57122,1.25668,0.88842,1.22199,0.001406,0.001406,0.001406
17,205.473,1.17277,0.8961,1.13673,0.86574,0.79365,0.88674,0.56212,1.23117,0.87401,1.21735,0.0013664,0.0013664,0.0013664
